Speaker,Text
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", argument next in Delaware versus Pennsylvania and Wisconsin and the consolidated case.
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", Mr. Katyal.
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", ORAL ARGUMENT OF NEAL K. KATYAL
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", ON BEHALF OF DELAWARE
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ."," MR. KATYAL:  Thank you, Mr. Chief "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","Justice, and may it please the Court: "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",This case concerns a piece of 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","statutory text from 1974 in Section 2503, which is found in the blue brief appendix at page 2a. That provision exempts from the common law a narrow set of instruments:  a money order, traveler's check, or other similar written instrument other than a third- party bank check. "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",The question today is whether two 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","products, MoneyGram agent checks and MoneyGram teller's checks, fall within that exemption. For many years, the defendant states answered that question ""no.""  However, after engaging some creative consultants, they changed their mind. "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",They were right the first time for 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",Heritage Reporting Corporation   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                                                                   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                    
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",  1   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",2 3   4   5   6 7 8 9 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",10  11 12  13  14  15 16  17  18  19        20  21  22  23  24  25  5Official 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","four separate reasons.  First, when Congress adopted that language in 1974, the term ""money"
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ."," order"" referred to specific commercial products labeled ""money order"" and typically sold to unbanked consumers to pay small debts.  Neither "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","of those apply to the two disputed instruments here. They're not labeled ""money order,"" and they are sold to consumers with bank accounts who are transferring larger sums of money. "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","Second, the FDA was a surgical fix to "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","this Court's 1972 decision with a key purpose behind it, to prevent the price of small- dollar "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",instruments from increasing drew to --due to 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","address collection requirements that states might adopt in reaction to this Court's 1972 decision.  That rationale does not apply here, and the two instruments are outside of the FDA altogether. "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","Third, even if you thought these "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","products were within the FDA, the two instruments here fall within the third- party "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","bank check exception.  Like all bank checks, they are signed by bank employees, not purchasers. "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","And, fourth, while we believe that our "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",Heritage Reporting Corporation   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                                                                   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",  1   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",2 3 4 5   6   7 8   9   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",10  11  12  13   14  15 16  17             18  19  20 21  22  23  24    25 6Official 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ."," reading is the best reading of the FDA's text, "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","structure, and purpose, we don't deny one could read the statute differently, but importantly, if you found things in equipoise, two things"
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", would independently break any tie for us.
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", One is the doctrine of reading 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","statutes to avoid derogation of the common law,"
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", and the other is this Court's repeated emphasis on the need for bright -line rules and 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",predictability in this space. 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",The defendants' interpretation would 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","upend all that, as their own amici acknowledge. Our view of the statute, by contrast, is predictable, reflects longstanding practice, and provides a bright line for the escheatment of financial products in the future. "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","JUSTICE THOMAS:  Mr. Katyal, how much "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","weight do you put on this money order designation?  What if, tomorrow morning, they simply stamp the top of these, the two disputed instruments, ""money order,"" ""commercial money order""?  Would that solve your problem? "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","MR. KATYAL: So, Justice Thomas, that "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","-- if they changed the label, we do think that it would mean it's not a money order or "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",Heritage Reporting Corporation   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                                                                   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",  1   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",2   3   4   5   6   7  8 9   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",10  11  12 13  14  15  16 17  18  19  20  21  22 23  24  25  7Official 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ."," traveler's check.  So we do think you look to the label for that.  And, indeed, I think that's"
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", what they say about traveler's checks.  But we don't think it would be true for other similar instruments.
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ."," So we think that in your hypothetical, "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","in which you have the exact same instrument, but it has just a different name on it, that is an"
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", other similar written instrument. 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","Notably, you know, that's never "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","happened, and the reason is because money orders and those labels are important for consumers and for banks.  They want to know what they're getting.  They want to know what they're selling.  And that's why they can't point to a single example where that label has ever been stripped off. "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","But I agree with you, Justice Thomas, "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","if that happened, that would fall within the FDA, your hypothetical. "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","JUSTICE THOMAS:  So -- well, the --"
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","can you point to any reason in the past why this would be --this definition of ""money order"" is "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",so narrow?  It would seem to me that with its --
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","over time, it's not necessarily, as you say it "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",Heritage Reporting Corporation   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                                                                   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",  1   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",2   3   4 5   6   7 8 9 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",10 11  12  13  14  15    16 17 18  19  20  21  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",22  23  24  25  8Official 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","is, a discrete set of instruments."
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ."," MR. KATYAL: So we don't doubt,"
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ."," Justice Thomas, that there is a way to define "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","""money order"" as broadly as my friends on the"
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", other side do.
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ."," If you do that, it blows up things "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","like cashier's checks, certified checks, all the stuff that the American Bank Association is warning you about and that Judge Leval couldn't get around because he just said I'm not going to define it, but --"
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",JUSTICE THOMAS:  One -- one final 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","question, and I'm sure my colleagues will have more. But how do you get around ""similar,"" the -- the similarity language? It seems as though all of these are drafts and that if you say, ""well, it's not a money order,"" it looks like a money order in many other ways. "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",So why is --is it --does it not fall 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",into the similarity category? 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","MR. KATYAL: Yes, Justice Thomas.  We "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",don't think it falls into the similar --
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","similarity category.  We think that's for things like what you were talking about before in your first question to me, where the --where the "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",Heritage Reporting Corporation   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                                                                   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",  1 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",2   3   4 5   6   7   8 9   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",10  11  12  13 14  15  16  17 18  19 20  21  22  23   24  25 9 Official 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",name isn't there and possibly some other things.
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ."," But, here, there are three things"
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", about these disputed instruments which aren't 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",true about money orders.
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ."," First, you can only buy disputed"
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", instrument --instruments at a bank.  Money
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ."," orders are sold typically at retailers, CVS, "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","Walmart, and the like."
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ."," Second, you will have a bank account "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",when you buy them. 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","And --and, third, --and the third "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","point is that the money order -- the -- that --that money orders aren't signed by the bank, but these two disputed instruments are. "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",Now I know that sounds formalistic. 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","Here's why that matters:  Because Congress and the FDA was worried about what this Court invited states to do in 1972, which is impose address collection requirements on money orders and traveler's checks. "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",And what they said is these are 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","small-denomination instruments.  If you do that, "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","it's going to increase the price of them. The disputed instruments, because there is that bank account and because you're going into the bank, "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",Heritage Reporting Corporation   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                                                                  
